date,1. open,2. high,3. low,4. close,5. volume
2021-01-28,34.62,35.23,34.62,34.9083,14617.0
2021-01-27,35.32,35.32,34.4,34.4699,21839.0
2021-01-26,35.87,35.87,35.4682,35.4682,10128.0
2021-01-25,35.65,35.6876,35.0001,35.6233,8326.0
2021-01-22,35.81,35.81,35.495,35.535,4226.0
2021-01-21,35.84,35.84,35.5,35.7264,9599.0
2021-01-20,35.55,35.66,35.3552,35.6399,13196.0
2021-01-19,35.03,35.15,34.9,35.14,13791.0
2021-01-15,35.06,35.06,34.6601,34.7622,9830.0
2021-01-14,35.57,35.57,35.04,35.0411,7458.0
2021-01-13,35.38,35.4,35.2,35.3474,5551.0
2021-01-12,35.17,35.39,35.0973,35.3,7947.0
2021-01-11,35.85,35.85,35.165,35.1902,8887.0
2021-01-08,36.0,36.0,35.2,35.5938,10848.0
2021-01-07,34.72,35.27,34.72,35.2373,10380.0
2021-01-06,34.35,34.78,34.35,34.43,9007.0
2021-01-05,34.14,34.37,34.14,34.2868,11181.0
2021-01-04,34.94,37.45,33.89,34.18,11082.0
2020-12-31,34.47,34.5302,34.32,34.5302,9332.0
2020-12-30,34.29,34.36,34.2395,34.3476,7435.0
2020-12-29,34.18,34.27,34.075,34.1239,6570.0
2020-12-28,34.5,34.5,34.2036,34.2099,10814.0
2020-12-24,34.03,34.09,34.0,34.0862,1669.0
2020-12-23,34.27,34.27,33.9,33.9,13609.0
2020-12-22,34.0,34.0,33.9085,33.9564,4214.0
2020-12-21,33.87,34.0399,33.5,33.9093,8613.0
2020-12-18,34.43,34.43,33.91,34.0637,9436.0
2020-12-17,33.98,34.1268,33.98,34.1268,6598.0
2020-12-16,34.0,34.0,33.7,33.7849,13528.0
2020-12-15,33.7,33.7,33.51,33.6837,6020.0
2020-12-14,33.91,34.0192,33.5053,33.5053,8980.0
2020-12-11,33.44,33.44,33.1301,33.4,5247.0
2020-12-10,33.52,33.69,33.35,33.5201,5373.0
2020-12-09,34.57,34.57,33.45,33.5339,6546.0
2020-12-08,34.0,34.06,33.786,34.0296,3968.0
2020-12-07,34.19,34.19,33.88,33.9303,5474.0
2020-12-04,33.58,33.8227,33.58,33.8227,1189.0
2020-12-03,33.55,33.6,33.4308,33.4308,5293.0
2020-12-02,33.42,33.42,33.2009,33.376,2946.0
2020-12-01,33.34,33.5,33.34,33.4,4966.0
2020-11-30,33.27,33.27,32.765,32.977,8122.0
2020-11-27,34.0,34.0,33.0618,33.0618,5292.0
2020-11-25,33.45,33.45,32.865,32.9299,4269.0
2020-11-24,32.77,32.98,32.63,32.94,6823.0
2020-11-23,32.44,32.78,32.2272,32.56,4766.0
2020-11-20,32.54,32.54,32.2417,32.2417,3488.0
2020-11-19,32.78,32.78,32.29,32.53,5632.0
2020-11-18,32.8,32.8,32.37,32.37,4466.0
2020-11-17,32.54,32.68,32.5,32.5893,3647.0
2020-11-16,32.82,32.82,32.554,32.5883,3671.0
2020-11-13,32.39,32.39,32.2,32.3499,2381.0
2020-11-12,32.2,32.2,31.88,31.9616,4428.0
2020-11-11,32.03,32.26,32.03,32.2379,1914.0
2020-11-10,32.0,32.0,31.605,31.88,3759.0
2020-11-09,33.65,35.0,32.2115,32.2115,10497.0
2020-11-06,33.0,33.0,31.705,32.0247,4276.0
2020-11-05,32.13,32.13,31.82,32.02,10360.0
2020-11-04,31.28,31.56,31.26,31.26,11509.0
2020-11-03,30.32,30.48,30.24,30.3743,4951.0
2020-11-02,29.99,29.99,29.5211,29.72,6351.0
2020-10-30,29.95,29.95,29.19,29.47,10223.0
2020-10-29,29.81,30.0573,29.66,29.9577,3668.0
2020-10-28,30.0,30.0,29.4879,29.4879,6562.0
2020-10-27,30.83,30.83,30.6197,30.6197,7285.0
2020-10-26,31.26,31.26,30.38,30.69,9821.0
2020-10-23,31.25,31.39,31.205,31.39,4639.0
2020-10-22,31.37,31.4,31.16,31.34,7635.0
2020-10-21,31.78,31.78,31.25,31.27,14276.0
2020-10-20,31.42,31.4914,31.2025,31.2444,21344.0
2020-10-19,31.87,31.87,31.12,31.12,4493.0
2020-10-16,31.76,31.835,31.614,31.614,3925.0
2020-10-15,31.73,31.73,31.232,31.5941,15646.0
2020-10-14,32.11,32.11,31.605,31.7127,5603.0
2020-10-13,32.18,32.18,31.9,31.9427,3320.0
2020-10-12,31.94,32.23,31.79,32.05,22179.0
2020-10-09,31.46,31.59,31.445,31.5026,4234.0
2020-10-08,31.25,31.29,31.21,31.29,8323.0
2020-10-07,31.19,31.19,30.8966,31.07,7698.0
2020-10-06,31.04,31.08,30.6,30.6,3505.0
2020-10-05,30.74,30.94,30.665,30.93,17613.0
2020-10-02,30.2,30.57,30.2,30.3953,6586.0
2020-10-01,30.6,30.79,30.6,30.79,6848.0
2020-09-30,30.41,30.715,30.36,30.5,6070.0
2020-09-29,30.315,30.315,30.2402,30.2402,4194.0
2020-09-28,30.36,30.36,30.1499,30.25,7200.0
2020-09-25,29.16,29.86,29.1374,29.8,10898.0
2020-09-24,29.0,29.39,28.97,29.2134,7121.0
2020-09-23,29.99,29.99,29.14,29.14,7653.0
2020-09-22,29.9,29.93,29.6,29.92,4575.0
2020-09-21,29.61,29.64,29.08,29.64,14047.0
2020-09-18,30.121,30.121,29.7,29.8465,2752.0
2020-09-17,29.99,30.21,29.9185,30.0835,14407.0
2020-09-16,30.85,30.85,30.4133,30.4133,5290.0
2020-09-15,30.53,30.73,30.49,30.5937,9982.0
2020-09-14,30.33,30.535,30.29,30.3673,5331.0
2020-09-11,30.01,30.03,29.46,29.7859,7186.0
2020-09-10,30.74,30.74,29.7414,29.9171,10169.0
2020-09-09,30.33,30.56,30.04,30.4483,3762.0
2020-09-08,29.88,30.14,29.5,29.6904,12936.0
2020-09-04,31.17,31.17,29.9245,30.7,18907.0
2020-09-03,32.15,32.15,31.0,31.0811,10679.0
2020-09-02,32.35,32.4141,31.99,32.4141,5817.0
2020-09-01,31.82,31.91,31.605,31.9001,4248.0
2020-08-31,31.41,31.735,31.41,31.655,5340.0
2020-08-28,31.3997,31.5649,31.3997,31.5649,2679.0
2020-08-27,31.3,31.48,31.19,31.3143,18424.0
2020-08-26,30.96,31.31,30.9,31.2854,3967.0
2020-08-25,30.91,30.91,30.59,30.83,3152.0
2020-08-24,30.77,30.77,30.5245,30.6095,8439.0
2020-08-21,30.35,30.4233,30.27,30.4233,2912.0
2020-08-20,29.8,30.32,29.8,30.292,4047.0
2020-08-19,30.2,30.27,30.025,30.0295,5624.0
2020-08-18,30.29,30.29,30.045,30.1175,3090.0
2020-08-17,30.14,30.14,30.0097,30.0884,17897.0
2020-08-14,29.88,29.93,29.815,29.8333,1463.0
2020-08-13,29.89,29.89,29.7791,29.8159,1153.0
2020-08-12,29.49,29.8999,29.49,29.8325,2639.0
2020-08-11,29.85,29.85,29.3757,29.3757,2845.0
2020-08-10,29.87,29.87,29.665,29.6889,1607.0
2020-08-07,29.71,29.755,29.58,29.6977,5730.0
2020-08-06,29.56,29.745,29.475,29.745,3943.0
2020-08-05,29.54,29.54,29.4,29.52,5556.0
2020-08-04,29.28,29.31,29.18,29.3021,4749.0
2020-08-03,29.05,29.28,29.05,29.2282,5401.0
2020-07-31,28.8,28.96,28.525,28.96,6392.0
2020-07-30,28.4974,28.7184,28.38,28.7184,1395.0
2020-07-29,28.57,28.693,28.57,28.693,1884.0
2020-07-28,28.5,28.5,28.2744,28.2744,5118.0
2020-07-27,28.45,28.51,28.3761,28.5044,2826.0
2020-07-24,28.34,28.35,28.14,28.25,7052.0
2020-07-23,29.09,29.09,28.508,28.58,3260.0
2020-07-22,28.79,28.9663,28.79,28.9663,2220.0
2020-07-21,29.15,29.15,28.78,28.78,4062.0
2020-07-20,28.61,28.89,28.61,28.89,6725.0
2020-07-17,28.36,28.58,28.36,28.516,8209.0
2020-07-16,28.99,28.99,28.216,28.329,6545.0
2020-07-15,28.55,28.55,28.261,28.464,7500.0
2020-07-14,27.86,28.244,27.71,28.244,3852.0
2020-07-13,28.55,28.632,27.87,27.87,17834.0
2020-07-10,28.18,28.285,27.83,28.285,9327.0
2020-07-09,28.15,28.15,27.862,28.076,4509.0
2020-07-08,27.98,28.17,27.98,28.17,7567.0
2020-07-07,28.21,28.315,27.9,27.9,2771.0
2020-07-06,28.01,28.24,28.01,28.163,16083.0
2020-07-02,28.0,28.0,27.706,27.706,3381.0
2020-07-01,27.535,27.66,27.51,27.613,3212.0
2020-06-30,27.001,27.456,27.001,27.456,2067.0
2020-06-29,26.81,26.95,26.51,26.95,7950.0
2020-06-26,27.34,27.34,26.611,26.611,4304.0
2020-06-25,27.09,27.28,26.97,27.28,5849.0
2020-06-24,27.62,27.62,26.86,26.939,6854.0
2020-06-23,27.66,27.877,27.66,27.682,2050.0
2020-06-22,27.44,27.556,27.44,27.556,1552.0
2020-06-19,27.72,27.729,27.24,27.379,8801.0
2020-06-18,27.53,27.53,27.478,27.478,726.0
2020-06-17,27.51,27.68,27.44,27.48,10916.0
2020-06-16,27.63,27.8,27.345,27.435,8732.0
2020-06-15,26.5,27.162,26.29,27.09,3170.0
2020-06-12,27.19,27.2,26.41,26.83,18045.0
2020-06-11,27.59,27.59,26.44,26.44,11132.0
2020-06-10,28.37,28.37,27.95,28.173,6192.0
2020-06-09,28.17,28.23,28.0,28.13,6215.0
2020-06-08,28.2,28.23,27.94,28.23,29181.0
2020-06-05,27.65,28.104,27.65,27.995,5365.0
2020-06-04,27.54,27.54,27.24,27.3,4092.0
2020-06-03,27.45,27.49,27.44,27.485,1342.0
2020-06-02,27.35,27.35,26.9,27.11,15378.0
2020-06-01,26.9,26.98,26.783,26.927,2269.0
2020-05-29,26.505,26.829,26.448,26.829,2527.0
2020-05-28,26.6,27.0,26.6,26.648,5481.0
2020-05-27,26.74,26.74,26.16,26.711,3691.0
2020-05-26,26.98,26.98,26.34,26.349,7780.0
2020-05-22,25.82,26.015,25.81,26.015,8025.0
2020-05-21,26.1,26.127,25.896,25.896,7372.0
2020-05-20,25.79,26.12,25.79,26.095,25049.0
2020-05-19,25.75,25.883,25.617,25.617,2191.0
2020-05-18,25.4,25.82,25.4,25.78,3349.0
2020-05-15,24.7,24.952,24.635,24.952,4543.0
2020-05-14,24.2,24.826,24.15,24.826,2861.0
2020-05-13,24.75,24.75,24.31,24.31,8607.0
2020-05-12,25.5,25.554,25.061,25.061,9612.0
2020-05-11,25.5,25.701,25.34,25.616,7077.0
2020-05-08,25.33,25.591,25.33,25.591,6260.0
2020-05-07,25.175,25.277,25.137,25.137,3745.0
2020-05-06,25.25,25.25,24.808,24.808,2751.0
2020-05-05,25.0,25.12,24.905,24.905,1840.0
2020-05-04,24.21,24.588,24.17,24.588,7569.0
2020-05-01,25.0,25.0,24.41,24.421,2352.0
2020-04-30,25.46,25.46,25.05,25.192,8107.0
2020-04-29,25.0,25.499,25.0,25.442,4907.0
2020-04-28,25.0,25.12,24.577,24.577,3772.0
2020-04-27,24.42,24.77,24.42,24.77,5920.0
2020-04-24,24.19,24.315,23.86,24.315,3232.0
2020-04-23,24.19,24.31,23.941,23.941,2541.0
2020-04-22,23.75,23.994,23.729,23.994,913.0
2020-04-21,24.08,24.08,23.325,23.325,2527.0
2020-04-20,24.47,24.47,24.13,24.194,7842.0
2020-04-17,24.59,24.61,24.227,24.545,3180.0
2020-04-16,24.1,24.1,23.759,24.056,1972.0
2020-04-15,23.95,24.02,23.745,23.87,3665.0
2020-04-14,24.3,24.5,24.284,24.455,4838.0
2020-04-13,24.11,24.11,23.43,23.75,10350.0
2020-04-09,24.22,24.22,23.91,23.99,39182.0
2020-04-08,23.36,23.695,22.98,23.695,10439.0
2020-04-07,23.68,23.68,22.98,22.98,3191.0
2020-04-06,22.17,22.889,22.17,22.8,4171.0
2020-04-03,21.52,21.56,20.94,21.162,5422.0
2020-04-02,20.94,21.529,20.94,21.529,2690.0
